選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,郭玟成,尚興鋼鐵工業股份有限公司,097/01/05,100000
097年立法委員選舉,郭玟成,龍慶鋼鐵企業股份有限公司,096/11/24,100000
097年立法委員選舉,郭玟成,龍慶鋼鐵企業股份有限公司,096/12/31,20000
101年立法委員選舉,郭玟成,宏鷹電機有限公司,100/11/27,10000
097年立法委員選舉,郭玟成,高都汽車股份有限公司,097/01/10,30000
101年立法委員選舉,郭玟成,高都汽車股份有限公司,101/01/06,30000
097年立法委員選舉,郭玟成,坤穎工程有限公司,097/01/03,18000
097年立法委員選舉,郭玟成,皇苑建設股份有限公司,096/12/14,200000
101年立法委員選舉,郭玟成,鼎宇建設股份有限公司,100/12/10,50000
097年立法委員選舉,郭玟成,慶大建設股份有限公司,096/12/17,50000
097年立法委員選舉,郭玟成,旭鈿企業有限公司,096/12/28,20000
101年立法委員選舉,郭玟成,汎偉航運股份有限公司,100/12/09,100000
097年立法委員選舉,郭玟成,佑神國際開發股份有限公司,096/12/29,100000
101年立法委員選舉,郭玟成,中化興實業股份有限公司,100/12/21,300000
101年立法委員選舉,郭玟成,高永建設股份有限公司,100/12/05,200000
101年立法委員選舉,郭玟成,高永建設股份有限公司,100/10/19,100000
097年立法委員選舉,郭玟成,臨海醫院,096/12/17,50000
097年立法委員選舉,郭玟成,寶雅國際股份有限公司,096/11/28,50000
101年立法委員選舉,郭玟成,金氏科訊股份有限公司,100/12/23,15000
