選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
101年立法委員選舉,趙士強,武祥貿易股份有限公司,100/11/08,20000
101年立法委員選舉,趙士強,和泰汽車股份有限公司,100/08/10,38640
101年立法委員選舉,趙士強,中台資源科技股份有限公司,100/12/12,300000
101年立法委員選舉,趙士強,曾業有限公司,100/11/12,12000
101年立法委員選舉,趙士強,九太科技股份有限公司,100/08/02,100000
101年立法委員選舉,趙士強,若林企業股份有限公司,100/12/06,60000
101年立法委員選舉,趙士強,車美仕股份有限公司,100/12/21,52080
101年立法委員選舉,趙士強,車美仕股份有限公司,100/10/24,52080
101年立法委員選舉,趙士強,車美仕股份有限公司,100/11/29,50400
101年立法委員選舉,趙士強,車美仕股份有限公司,100/10/17,50400
101年立法委員選舉,趙士強,車美仕股份有限公司,101/01/03,24400
101年立法委員選舉,趙士強,誠展貿易股份有限公司,100/11/29,20000
101年立法委員選舉,趙士強,捷略數位科技有限公司,100/10/04,50000
101年立法委員選舉,趙士強,莫宰羊企業有限公司,100/12/31,10000
101年立法委員選舉,趙士強,平和媒體有限公司,100/11/01,100000
101年立法委員選舉,趙士強,金震興農機廠有限公司,100/11/26,50000
101年立法委員選舉,趙士強,鉅創未來科技有限公司,100/12/15,39600
101年立法委員選舉,趙士強,和明紡織股份有限公司,100/11/29,10000
101年立法委員選舉,趙士強,大傳媒體事業股份有限公司,100/10/24,200000
101年立法委員選舉,趙士強,全穎運動用品有限公司,100/07/13,300000
101年立法委員選舉,趙士強,帶王織造廠有限公司,100/11/29,50000
101年立法委員選舉,趙士強,博崍媒體股份有限公司,100/10/04,150000
101年立法委員選舉,趙士強,快易通科技有限公司,100/11/01,100000
101年立法委員選舉,趙士強,台大鐵工廠,100/11/29,10000
