選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,王世堅,大昶有限公司,096/12/03,100000
097年立法委員選舉,郭正亮,大昶有限公司,096/11/26,200000
101年立法委員選舉,姚文智,大昶有限公司,100/06/03,30000
113年總統、副總統選舉,侯友宜,大昶有限公司,1121127,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
113年總統、副總統選舉,侯友宜,大昶有限公司,1121128,100000.00
