選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
107年直轄市議員選舉,林金結,信美鏡廠股份有限公司,1071017,100000.00
107年直轄市議員選舉,林銘仁,信美鏡廠股份有限公司,1071017,100000.00
107年直轄市議員選舉,洪佳君,信美鏡廠股份有限公司,1071016,100000.00
107年直轄市議員選舉,陳炳甫,信美鏡廠股份有限公司,1071017,100000.00
109年立法委員選舉,吳琪銘,信美鏡廠股份有限公司,1081210,150000.00
111年新北市議員選舉,廖宜琨,信美鏡廠股份有限公司,1111017,100000.00
111年新北市議員選舉,林金結,信美鏡廠股份有限公司,1111017,100000.00
111年新北市議員選舉,林銘仁,信美鏡廠股份有限公司,1111018,100000.00
111年新北市議員選舉,洪佳君,信美鏡廠股份有限公司,1111025,100000.00
111年臺北市議員選舉,陳炳甫,信美鏡廠股份有限公司,1111018,100000.00
113年立法委員選舉,林金結,信美鏡廠股份有限公司,1121102,200000.00
113年立法委員選舉,洪佳君,信美鏡廠股份有限公司,1121122,200000.00
