選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
101年立法委員選舉,林濁水,璟昌機電工業股份有限公司,100/12/02,100000
101年立法委員選舉,蔡其昌,璟昌機電工業股份有限公司,100/11/25,100000
101年立法委員選舉,鄭文燦,璟昌機電工業股份有限公司,100/11/21,100000
111年新北市議員選舉,陳俊霖,力揚機電工程股份有限公司,1111014,100000.00
111年新北市議員選舉,陳俊霖,力揚機電工程股份有限公司,1111014,100000.00
111年新北市議員選舉,陳俊霖,力揚機電工程股份有限公司,1111014,100000.00
111年臺北市議員選舉,林瑞圖,力揚機電工程股份有限公司,1111013,100000.00
111年臺北市議員選舉,林瑞圖,力揚機電工程股份有限公司,1111013,100000.00
111年臺北市議員選舉,洪健益,力揚機電工程股份有限公司,1111020,100000.00
111年彰化縣議員選舉,陳一惇,力揚機電工程股份有限公司,1111017,100000.00
111年彰化縣議員選舉,陳一惇,力揚機電工程股份有限公司,1111017,100000.00
111年彰化縣議員選舉,陳一惇,力揚機電工程股份有限公司,1111017,100000.00
