選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
105年立法委員選舉,羅致政,巴斯威爾股份有限公司,104/08/13,50000
105年立法委員選舉,林淑芬,巴斯威爾股份有限公司,104/10/20,100000
105年立法委員選舉,林淑芬,巴斯威爾股份有限公司,104/08/13,100000
110政黨,民主進步黨,巴斯威爾股份有限公司,1100122,50000.00
110政黨,民主進步黨,巴斯威爾股份有限公司,1101206,60000.00
111政黨,民主進步黨,巴斯威爾股份有限公司,1111226,50000.00
109年總統、副總統選舉,蔡英文,巴斯威爾股份有限公司,1081126,300000.00
107年直轄市議員選舉,蘇志強,巴斯威爾股份有限公司,1071102,100000.00
107年直轄市議員選舉,郭麗華,巴斯威爾股份有限公司,1071015,50000.00
109年立法委員選舉,林淑芬,巴斯威爾股份有限公司,1081018,100000.00
109年立法委員選舉,鄭運鵬,巴斯威爾股份有限公司,1081114,100000.00
111年桃園市市長選舉,鄭運鵬,巴斯威爾股份有限公司,1110913,500000.00
113年立法委員選舉,林淑芬,巴斯威爾股份有限公司,1121117,200000.00
113年立法委員選舉,鄭運鵬,巴斯威爾股份有限公司,1120808,100000.00
113年立法委員選舉,鄭運鵬,巴斯威爾股份有限公司,1121018,100000.00
113年立法委員選舉,鄭運鵬,巴斯威爾股份有限公司,1121218,100000.00
