選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
105年立法委員選舉,鄭永金,泰誠發展營造股份有限公司,105/01/08,500000
105年立法委員選舉,林郁方,泰誠發展營造股份有限公司,105/01/08,500000
105年立法委員選舉,邱議瑩,泰誠發展營造股份有限公司,105/01/08,1000000
107政黨,民主進步黨,泰誠發展營造股份有限公司,1070705,300000.00
107年直轄市議員選舉,劉哲彰,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,吳志剛,泰誠發展營造股份有限公司,1071115,100000.00
107年直轄市議員選舉,李傅中武,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,李芳儒,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,林國成,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,梁文傑,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,王浩,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,葉林傳,泰誠發展營造股份有限公司,1071105,200000.00
107年直轄市議員選舉,闕枚莎,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,陳彥伯,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,陳炳甫,泰誠發展營造股份有限公司,1071105,200000.00
107年直轄市議員選舉,陳重文,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,顏若芳,泰誠發展營造股份有限公司,1071105,100000.00
107年直轄市議員選舉,黃珊珊,泰誠發展營造股份有限公司,1071105,100000.00
