選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
105年立法委員選舉,王定宇,正州實業股份有限公司,105/01/04,500000
105年立法委員選舉,王定宇,正州實業股份有限公司,104/08/26,100000
097年立法委員選舉,李俊毅,正州實業(股)公司,096/12/11,50000
107年直轄市議員選舉,杜素吟,正州實業股份有限公司,1071031,100000.00
107年直轄市議員選舉,郭鴻儀,正州實業股份有限公司,1071011,100000.00
107年直轄市議員選舉,郭鴻儀,正州實業股份有限公司,1071024,20000.00
107年直轄市議員選舉,郭鴻儀,正州實業股份有限公司,1071029,80000.00
109年立法委員選舉,王定宇,正州實業股份有限公司,1081216,500000.00
111年臺南市議員選舉,杜素吟,正州實業股份有限公司,1111104,10000.00
111年臺南市議員選舉,郭鴻儀,正州實業股份有限公司,1111031,100000.00
111年臺南市議員選舉,陳皇宇,正州實業股份有限公司,1111114,30000.00
113年立法委員選舉,王定宇,正州實業股份有限公司,1121030,100000.00
