選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,周守訓,毅太企業(股)公司,096/11/09,20000
097年立法委員選舉,蔣孝嚴,毅太企業股份有限公司,096/12/21,30000
112政黨,台灣民眾黨,毅太企業股份有限公司,1121220,100000.00
109年立法委員選舉,蔡適應,毅太企業股份有限公司,1081105,25000.00
111年基隆市議員選舉,張之豪,毅太企業股份有限公司,1110722,20000.00
111年基隆市議員選舉,張秉鈞,毅太企業(股)公司,1110726,20000.00
111年基隆市議員選舉,張顥瀚,毅太企業股份有限公司,1110916,20000.00
111年基隆市議員選舉,林坤明,毅太企業股份有限公司,1110727,20000.00
111年基隆市議員選舉,洪森永,毅太企業股份有限公司,1110715,100000.00
111年基隆市議員選舉,鄭文婷,毅太企業股份有限公司,1110726,20000.00
111年基隆市議員選舉,陳宜,毅太企業股份有限公司,1110722,20000.00
111年基隆市市長選舉,蔡適應,毅太企業股份有限公司,1110916,100000.00
113年立法委員選舉,鄭文婷,毅太企業股份有限公司,1121110,100000.00
113年立法委員選舉,邱議瑩,毅太企業股份有限公司,1121018,100000.00
