選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
105年立法委員選舉,鍾易仲,勝偕建設股份有限公司,104/12/16,200000
105年立法委員選舉,許智傑,勝偕建設股份有限公司,104/11/16,300000
105年立法委員選舉,劉世芳,勝偕建設股份有限公司,104/11/20,300000
097年立法委員選舉,侯彩鳳,勝偕建設股份有限公司,096/12/14,100000
097年立法委員選舉,姚文智,勝偕建設股份有限公司,096/12/14,50000
101年立法委員選舉,侯彩鳳,勝偕建設股份有限公司,100/11/24,200000
101年立法委員選舉,侯彩鳳,勝偕建設股份有限公司,100/12/23,100000
101年立法委員選舉,林益世,勝偕建設股份有限公司,100/12/28,50000
101年立法委員選舉,管碧玲,勝偕建設股份有限公司,100/11/05,150000
101年立法委員選舉,許智傑,勝偕建設股份有限公司,100/12/12,50000
101年立法委員選舉,黃昭順,勝偕建設股份有限公司,100/12/22,200000
101年立法委員選舉,黃昭順,勝偕建設股份有限公司,100/12/19,50000
109年總統、副總統選舉,蔡英文,勝偕建設股份有限公司,1081224,50000.00
109年總統、副總統選舉,韓國瑜,勝偕建設股份有限公司,1081202,250000.00
113年總統、副總統選舉,侯友宜,勝偕建設股份有限公司,1121215,300000.00
113年總統、副總統選舉,賴清德,勝偕建設股份有限公司,1121026,100000.00
107年直轄市議員選舉,劉德林,勝偕建設股份有限公司,1070918,100000.00
107年直轄市議員選舉,曾俊傑,勝偕建設股份有限公司,1071031,50000.00
107年直轄市議員選舉,李柏毅,勝偕建設股份有限公司,1070829,100000.00
107年直轄市議員選舉,李柏毅,勝偕建設股份有限公司,1071101,50000.00
107年直轄市議員選舉,李眉蓁,勝偕建設股份有限公司,1071004,100000.00
107年直轄市議員選舉,蔡昌達,勝偕建設股份有限公司,1071030,50000.00
107年直轄市議員選舉,郭建盟,勝偕建設股份有限公司,1071008,100000.00
107年直轄市議員選舉,陳慧文,勝偕建設股份有限公司,1071026,100000.00
107年直轄市議員選舉,高閔琳,勝偕建設股份有限公司,1070905,100000.00
107年直轄市議員選舉,黃文志,勝偕建設股份有限公司,1071031,50000.00
107年直轄市議員選舉,黃紹庭,勝偕建設股份有限公司,1071030,50000.00
109年立法委員選舉,賴瑞隆,勝偕建設股份有限公司,1081216,50000.00
109年立法委員選舉,邱議瑩,勝偕建設股份有限公司,1081114,50000.00
109年立法委員選舉,陳美雅,勝偕建設股份有限公司,1081201,300000.00
109年立法委員選舉,陳麗娜,勝偕建設股份有限公司,1081107,50000.00
111年高雄市市長選舉,陳其邁,勝偕建設股份有限公司,1111028,500000.00
111年高雄市議員選舉,劉德林,勝偕建設股份有限公司,1111025,100000.00
111年高雄市議員選舉,康裕成,勝偕建設股份有限公司,1111024,150000.00
111年高雄市議員選舉,李眉蓁,勝偕建設股份有限公司,1111014,100000.00
111年高雄市議員選舉,李雅芬,勝偕建設股份有限公司,1111101,60000.00
111年高雄市議員選舉,林慧欣,勝偕建設股份有限公司,1111111,100000.00
111年高雄市議員選舉,洪村銘,勝偕建設股份有限公司,1111103,100000.00
111年高雄市議員選舉,湯詠瑜,勝偕建設股份有限公司,1111107,100000.00
111年高雄市議員選舉,郭建盟,勝偕建設股份有限公司,1111019,100000.00
111年高雄市議員選舉,陳慧文,勝偕建設股份有限公司,1111016,150000.00
111年高雄市議員選舉,黃偵琳,勝偕建設股份有限公司,1111025,100000.00
113年立法委員選舉,李昆澤,勝偕建設股份有限公司,1121023,100000.00
113年立法委員選舉,李眉蓁,勝偕建設股份有限公司,1121215,200000.00
113年立法委員選舉,林岱樺,勝偕建設股份有限公司,1121030,100000.00
113年立法委員選舉,賴瑞隆,勝偕建設股份有限公司,1121026,100000.00
113年立法委員選舉,邱志偉,勝偕建設股份有限公司,1121020,100000.00
113年立法委員選舉,陳美雅,勝偕建設股份有限公司,1121215,200000.00
