選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
097年立法委員選舉,彭添富,柏昶建設有限公司,097/01/10,100000
097年立法委員選舉,李鎮楠,柏昶建設有限公司,096/12/31,30000
101年立法委員選舉,彭添富,柏昶建設股份有限公司,100/11/05,200000
101年立法委員選舉,彭紹瑾,柏昶建設股份有限公司,100/10/14,200000
101年立法委員選舉,陳學聖,柏昶建設有限公司,100/11/05,1000000
107年直轄市議員選舉,劉曾玉春,柏昶建設股份有限公司,1071012,100000.00
107年直轄市議員選舉,劉邦德,柏昶建設股份有限公司,1071017,100000.00
107年直轄市議員選舉,彭俊豪,柏昶建設股份有限公司,1071016,500000.00
107年直轄市議員選舉,葉明月,柏昶建設股份有限公司,1071014,500000.00
107年直轄市議員選舉,邱奕勝,柏昶建設股份有限公司,1071012,500000.00
111年桃園市議員選舉,彭俊豪,柏昶建設股份有限公司,1111108,1000000.00
111年桃園市議員選舉,葉明月,柏昶建設股份有限公司,1111108,1000000.00
113年立法委員選舉,彭俊豪,柏昶建設股份有限公司,1121212,300000.00
