選舉,捐贈對象,捐贈人,捐贈日期,捐贈金額
105年立法委員選舉,柯建銘,得鋐投資股份有限公司,104/12/28,1000000
105年立法委員選舉,丁守中,得鋐投資股份有限公司,104/12/23,1000000
105年立法委員選舉,蔣乃辛,得鋐投資股份有限公司,104/12/18,500000
101年立法委員選舉,李鴻鈞,得鋐投資股份有限公司,100/11/01,500000
101年立法委員選舉,蔣乃辛,得鋐投資股份有限公司,00/11/2,500000
113年總統、副總統選舉,侯友宜,得鋐投資股份有限公司,1120824,1000000.00
107年縣(市)長選舉,楊文科,得鋐投資股份有限公司,1070926,1000000.00
109年立法委員選舉,林德福,得鋐投資股份有限公司,1081115,1000000.00
111年臺中市議員選舉,黃健豪,得鋐投資股份有限公司,1110803,400000.00
111年臺北市議員選舉,張斯綱,得鋐投資股份有限公司,1110801,400000.00
111年臺北市議員選舉,徐弘庭,得鋐投資股份有限公司,1110801,400000.00
111年新竹縣縣長選舉,楊文科,得鋐投資股份有限公司,1110913,500000.00
111年新竹縣竹北市市長選舉,林冠年,得鋐投資股份有限公司,1110928,300000.00
113年立法委員選舉,黃健豪,得鋐投資股份有限公司,1120919,800000.00
113年立法委員選舉,賴士葆,得鋐投資股份有限公司,1121113,200000.00
